Message,Date
BUY BANKNIFTY 52100 PE ABOVE 470480 TARGET 3070100200250 Point SL EXPIRY 24th DEC,2024-12-04 03:47:59+00:00
Nifty Up 300 Points,2024-11-22 07:09:53+00:00
BUY SENSEX 77500 CE NEAR 490500 TARGET 3070100150200250,2024-11-22 04:34:44+00:00
OPTION BUYING VIEW POSITIONAL PFC 450CE CMP 20 SUPPORT 15 EXPECTED 2530,2024-11-13 04:59:06+00:00
OPTION BUYING VIEW FOR NEXT FEW DAYS LUPIN 216CE CMP 105108 Support 77 Expected View 140 November,2024-10-31 05:35:44+00:00
Bank Nifty Strong,2024-10-31 04:24:08+00:00
BUY BANKNIFTY 51700 PE ABOVE 510 TARGET 2570100200250 Point SL EXPIRY 30 OCT MONTHLY EXPIRY,2024-10-29 04:14:07+00:00
BANKNIFTY51100CE 350 To 460 100 POINTS JACKPOT T1 HIT,2024-10-23 04:25:28+00:00
BANKNIFTY 51100 CE ABOVE 350 SL TRT 400500600,2024-10-23 04:19:25+00:00
ABB INDIA Strong Recovery Now Stock At Day High,2024-10-17 06:13:00+00:00
OPTION BUYING ABB INDIA 8800CE CMP 200205 Support 150 Expected View 255300,2024-10-17 06:12:45+00:00
NIFTY TO OPEN 58 PTS GAP UP,2024-10-15 03:43:15+00:00
OPTION BUYING VIEW POSITIONAL VIEW COFORGE 7400CE CMP 190 Support 150 Expected View 250300,2024-10-14 05:53:04+00:00
OPTION BUYING TRENT 8200CE CMP 305 SUPPORT 280 EXPECTED 330350,2024-10-14 04:56:23+00:00
Nifty Up 170 Point,2024-10-14 04:36:44+00:00
MIDCPNIFTY13100PE 115 To 125 T1 HIT,2024-10-14 03:52:47+00:00
BUY BANKNIFTY 51500 PE ABOVE 400 TARGET 2570100200250 Point EXPIRY 16TH OCT WAIT FOR LEVEL CROSS,2024-10-14 03:52:25+00:00
MIDCPNIFTY 13100 PE ABOVE 115 SL TRT 125160200,2024-10-14 03:49:45+00:00
OPTION BUYING VIEW DIVIS LAB 6100CE CMP 140 SUPPORT 100 EXPECTED VIEW 180240,2024-10-11 07:22:17+00:00
BUY BANKNIFTY 51300 CE NEAR 425 TARGET 2570100200250 Point EXPIRY 16TH OCT,2024-10-11 04:09:35+00:00
OPTION BUYING CIPLA 1600CE CMP 42 SUPPORT 35 EXPECTED VIEW 5055,2024-10-11 04:06:24+00:00
OPTION BUYING VIEW TRENT 7800CE CMP 292 SUPPORT 260 EXPECTED 320340,2024-10-08 06:02:10+00:00
BAJAJ ELECTRICALS Bajaj Electricals aims for top 3 spot in consumer lighting market,2024-10-06 16:09:07+00:00
RAMCO CEMENTS CEMENT CO HIKE PRICE BY RS 2030 PER 50KG IN ANDHRA TELANGANA TAMIL NADU CEMENT PRICE HIKE EFFECTIVE TODAY NDTV,2024-10-03 05:20:42+00:00
OPTION BUYING VIEW MM 3100CE CMP 140 SUPPORT 120 VIEW 160180,2024-10-03 05:19:11+00:00
BUY ASIANPAINT 3200 PE ABOVE 100 TARGET 120150,2024-10-03 05:18:47+00:00
MM Very Good option Stock Now At Day High,2024-10-03 05:17:33+00:00
BUY BANKNIFTY 52500 CE ABOVE 330340 TARGET 2570100200250 Point SL EXPIRY 9TH OCT,2024-10-03 05:17:15+00:00
BUY ABB 11800 CE ABOVE 400 TARGET410450 EXPIRY SEP,2024-09-13 07:44:00+00:00
INOXWIND Buy Near 2503 Add More Near 2378 Target 1 2754 Target 2 3004 Target 3 3254 Stoploss At 2253,2024-09-12 07:58:55+00:00
OPTION BUYING VIEW INDIGO 4900CE CMP 115 SUPPORT 85 VIEW 135155,2024-09-11 05:58:10+00:00
NIFTY TO OPEN 7 PTS GAP DOWN,2024-09-11 03:42:07+00:00
IRIS Buy Near 2931 Add More Near 2784 Target 1 3224 Target 2 3517 Target 3 3811 Stoploss At 2638,2024-09-10 04:26:43+00:00
BANKNIFTY51300PE 255 To 400 T2 HIT,2024-09-10 04:24:05+00:00
GULFPETRO Buy Near 9115 Add More Near 8660 Target 1 1003 Target 2 1094 Target 3 1185 Stoploss At 8205,2024-09-10 04:00:20+00:00
Selling across the broader market Keep your SL based on closing basis If any stocks remains below the SL price till 325 then only take exit Till then hold,2024-09-06 04:47:31+00:00
CHEMFAB Buy Near 9800 Add More Near 9310 Target 1 1078 Target 2 1176 Target 3 1274 Stoploss At 8820,2024-09-06 04:40:18+00:00
OPTION BUYING VIEW MARICO 660CE CMP 20 SUPPORT 16 VIEW 2428,2024-09-06 04:38:25+00:00
BUYLTIM 6100 CE NEAR 190195 TARGET 205240 EXPIRY SEP,2024-09-05 05:26:54+00:00
OPTION BUYING VIEW LAURUS LAB 490CE CMP 1755 SUPPORT 15 VIEW 2024,2024-09-05 04:55:53+00:00
OPTION BUYING VIEW LIC HOUSING 700CE CMP 265 SUPPORT 225 VIEW 3033,2024-09-05 04:54:51+00:00
OPTION BUYING CHAMBAL FERTILIZER 550CE CMP 1617 SUPPORT 3 POINTS VIEW 202428,2024-09-02 04:50:15+00:00
BUYMCX 5200 CE NEAR 220225 TARGET235270 SL EXPIRY SEP,2024-09-02 04:25:42+00:00
INDOAMIN Buy Near 1904 Add More Near 1809 Target 1 2095 Target 2 2285 Target 3 2476 Stoploss At 1714,2024-09-02 04:05:55+00:00
MAWANASUG Buy Near 1367 Add More Near 1298 Target 1 1503 Target 2 1641 Target 3 1777 Stoploss At 1231,2024-08-30 04:00:01+00:00
MODIRUBBER Buy Near 1305 Add More Near 1240 Target 1 1435 Target 2 1566 Target 3 1696 Stoploss At 1174,2024-08-30 03:52:52+00:00
DALMIASUG Buy Near 4907 Add More Near 4662 Target 1 5398 Target 2 5889 Target 3 6379 Stoploss At 4417,2024-08-30 03:52:37+00:00
